Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
E2F2	ALPL	AL031280.1	MFAP2	NIPAL3	AL137127.1	AL591178.1	AL591178.1	CATSPER4	AL591178.1	FAM110D	AL137802.2	AL031731.1	FBLIM1	AL121992.1	IGSF21-AS1	C1QA	PTPRU	PDPN	PDPN	UQCRHL	E2F2	AL031728.1	NCMAP-DT	AL139423.1	DRAXIN	CNKSR1	XKR8	RHD	ZBTB40	TMCO4	IFNLR1	AL031428.1	C1QC	BX284668.2	BMP8B	AL031283.2	DHRS3	AUNIP	AL137802.2	RPL11	EMC1-AS1	NBL1	PINK1-AS	SLC25A34	AL357873.1	CENPS	CSMD2	EPHA2	RCAN3AS	AL031280.1	AL513365.2	GPATCH3	CDC42-AS1	AL031602.2	IGSF21	IFNLR1	NCMAP-DT	IGSF21	PAX7	SPATA21	AL031283.2	KAZN-AS1	TMCO4	AL353622.2	PAX7	ASAP3	PAFAH2	HMGN2	CDA	LINC01654	PAQR7	NBL1	CNKSR1	ALPL	XKR8	CELA2B	AL109936.6	PAX7	FBLIM1	ALDH4A1	EPHA8	PINK1-AS	AL353622.1	MFAP2	HMGCL	PAX7	C1orf195	PADI4	AL031280.1	RCAN3AS
PNRC2	HSPG2	AL020996.1	IGSF21	LDLRAP1	VWA5B1	MYOM3	IFNLR1	CRYBG2	IFNLR1	CATSPER4	LINC01783	LRRC38	FAM131C	ARHGEF19	CNR2	C1QC	MATN1	FHAD1	KAZN	PAX7	PNRC2	ALPL	AL031432.4	FBXO44	NPPA	GPATCH3	PTPRU	SESN2	AL031428.1	ALPL	NIPAL3	LINC01355	C1QB	IGSF21	OXCT2	UQCRHL	PDPN	CEP85	CDC42-IT1	LYPLA2	NBL1	PINK1-AS	ZNF436	FBLIM1	FBLIM1	PLOD1	CSMD2-AS1	ALDH4A1	RCAN3	AUNIP	RCC1	SLC9A1	EPHA8	RNF19B	SLC66A1	PAQR7	PDIK1L	AL591896.1	MRTO4	AL137802.2	AL137802.2	AL031293.1	LINC00339	SNHG3	VWA5B1	TMEM234	AL513365.2	RPA2	ECE1	IGSF21	CRYBG2	HTR6	STX12	CDC42-AS1	EYA3	FBLIM1	MAN1C1	AKR7A3	ARHGEF19	AKR7A3	C1QB	CDC42-IT1	PTPRU	PAX7	AL513365.2	TMCO4	EFHD2	MUL1	AL391650.1	RCAN3
GRHL3	ID3	AL391650.1	IGSF21-AS1	AL606491.1	AL020998.1	RCAN3AS	STPG1	STX12	EXTL1	CRYBG2	PINK1-AS	AL354712.1	AL109627.1	BX284668.2	NCMAP-DT	C1QB	MATN1-AS1	AL031283.2	AL031293.1	AL137127.1	RHCE	LDLRAD2	MACO1	DRAXIN	AL049569.1	SESN2	HCRTR1	AL445248.1	CLIC4	ZNF436-AS1	RCAN3AS	AL109936.6	LINC02800	AL591896.1	AL451062.1	MFAP2	AL031293.1	AL513365.2	ZBTB40	CLIC4	CAMK2N1	FUCA1	ZNF436-AS1	UQCRHL	LINC01772	DHRS3	BMP8B	TMCO4	MAN1C1	AL391650.1	FABP3	MAP3K6	IFNLR1	PHC2	NBL1	CNKSR1	AHDC1	VWA5B1	FAM43B	BX284668.6	AL049569.1	CELA2B	C1QA	PTPRU	CDC42-AS1	AL020995.1	COL16A1	IQCC	AL031728.1	IGSF21-AS1	RPS6KA1	CAMK2N1	SMPDL3B	EPHA8	LINC01715	BX284668.6	AL031280.1	OTUD3	AL109627.1	AL031727.2	LINC01715	C1QA	MATN1	UBXN10	AL353622.1	UBXN10	EPHA2	TEX46	MED18	MAN1C1
AUNIP	RUNX3	MAP3K6	AL445253.1	MAN1C1	AL031428.1	NCMAP	CRYBG2	AL020997.3	CD52	SYTL1	AL031428.1	TMEM51-AS1	PADI4	SLC66A1	RHCE	NCMAP	COL16A1	CELA2A	CPLANE2	UBXN10	CEP85	HSPG2	NKAIN1	FBLIM1	ATP13A2	PTPRU	COL16A1	DCDC2B	SYF2	IFNLR1	RCAN3	ASAP3	LDLRAP1	TMCO4	AL139220.2	TMCO4	TMEM51-AS1	HMGN2	CLIC4	AL031432.4	PINK1	AL031432.4	ID3	ARHGEF19	ALDH4A1	PDPN	MFSD2A	VWA5B1	AL031280.1	UBXN11	TMEM35B	IFI6	STPG1	SMIM12	CAMK2N1	CRYBG2	XKR8	KIF17	PINK1-AS	RCC2	ALDH4A1	FAM131C	C1QC	FABP3	AL031280.1	CSMD2	DCDC2B	S100PBP	ALPL	AL591896.1	MAP3K6	FAM43B	SERINC2	EPHB2	AL136115.2	AL049569.1	ZNF593	CAMK2N1	AL357509.1	LINC02596	MATN1	C1QC	AL451070.1	ASAP3	AL360012.1	VWA5B1	AL451042.1	AL031432.4	NKAIN1	AL031280.1
CEP85	LDLRAP1	AL512288.1	TEX46	AL031280.1	LINC01355	AL031432.1	AL020997.2	AL512288.1	CRYBG2	BX293535.1	FAM110D	SLC25A34	AL357509.1	NBL1	MACO1	RUNX3	HDAC1	CELA2B	PAX7	VWA5B1	HMGN2	ID3	SERINC2	ATP13A2	CDC42-AS1	NKAIN1	ADGRB2	FAM229A	AL031432.4	STPG1	NCMAP-DT	AL031432.4	AL033528.2	VWA5B1	SLC5A9	VWA5B1	FHAD1	RPS6KA1	SYF2	MACO1	PINK1-AS	DHDDS	LINC01715	AL137802.2	HTR6	AL031293.1	CCDC30	AL020998.1	AL391650.1	AL513365.2	ZMYM1	HDAC1	AL391650.1	DLGAP3	DDOST	RPS6KA1	AL353622.1	WNT4	AL031428.1	EMC1-AS1	FAM43B	BX284668.6	C1QB	COL16A1	PAFAH2	CSMD2-AS1	AZIN2	ZMYM1	HSPG2	IFFO2	MED18	PINK1	HCRTR1	IFNLR1	AL031602.2	EPHA8	SESN2	CDC42-IT1	HTR6	WNT4	AL445248.1	C1QB	HDAC1	ZNF593	S100PBP	UBXN11	ARHGEF10L	LDLRAP1	SERINC2	AL391650.1
AL513365.2	SLC9A1	SERINC2	AL031428.1	AL391650.1	AL109936.6	AL031432.4	SMPDL3B	LINC01715	STX12	STX12	ZNF593	AL109627.1	IGSF21	LINC00339	BX293535.1	AL033528.2	CSMD2-AS1	CASP9	UBXN10	AL020998.1	RCC1	RUNX3	COL16A1	IGSF21	CDC42-IT1	SERINC2	HPCA	BSDC1	PHACTR4	NIPAL3	MED18	SYTL1	RPS6KA1	FAM43B	SPATA6	ASAP3	AL031283.2	SLC9A1	RHCE	STMN1	CDC42-IT1	HMGN2	AL360012.1	AL049569.1	LINC01141	CELA2B	CCDC24	LDLRAP1	ZNF593	SNHG3	CLSPN	GJA4	CNKSR1	AC004865.2	NBPF3	TRNP1	PTPRU	HMGCL	TCEA3	ZBTB40	PINK1-AS	WNT4	AUNIP	CSMD2-AS1	UBXN11	C1orf94	CSMD2-AS1	CLSPN	ID3	NBL1	ZBTB8B	SH2D5	AL031602.2	CRYBG2	AL020995.1	TCEA3	MED18	LINC01355	UBXN10	GALE	KIAA1522	LDLRAP1	CSMD2-AS1	UBXN11	CSMD2	IFI6	LINC01654	AL031280.1	TRIM62	IFI6
HMGN2	FGR	KIAA1522	MYOM3	RPS6KA1	ZNF436-AS1	AL031280.1	SERINC2	IQCC	AL136115.2	AL020997.2	CNKSR1	CPLANE2	IGSF21-AS1	E2F2	AL020997.2	PAFAH2	AL139286.3	AL121992.1	EPHB2	LINC01141	AL360012.1	ZNF593	KIAA1522	RAP1GAP	MACO1	HCRTR1	TMEM54	ZBTB8B	AL445248.1	AUNIP	FAM167B	AL360012.1	THEMIS2	KIF17	LINC01771	NCMAP-DT	CELA2B	RPA2	MACO1	SH3BGRL3	SYF2	RPS6KA1	NKAIN1	ATP13A2	ALPL	ARHGEF19	SLC6A9	UBXN11	NKAIN1	RAB42	AL139286.3	TMEM35B	CRYBG2	SH3D21	ALPL	MAP3K6	NKAIN1	NIPAL3	SYF2	CLIC4	WNT4	GALE	RPS6KA1	C1orf94	COL16A1	TMEM35B	CLSPN	CDCA8	CLIC4	VWA5B1	FNDC5	AL031728.1	AL020995.1	SMPDL3B	PHC2	EXTL1	AL360012.1	NIPAL3	VWA5B1	NCMAP	HPCA	AUNIP	AL139286.3	IFI6	CSMD2-AS1	AL353622.1	ALDH4A1	AL391650.1	ZSCAN20	MED18
AL512288.1	IFI6	AL031602.2	RCAN3AS	MAP3K6	TCEA3	AUNIP	LINC01226	AL031602.2	TMEM54	SMPDL3B	GPR3	AL137802.2	AL591896.1	NCMAP-DT	LINC01715	CATSPER4	GRIK3	CPLANE2	ASAP3	KIF17	IQCC	FGR	AL662907.3	CDC42-IT1	MAN1C1	ADGRB2	AL662907.3	ZBTB8A	TMEM39B	TRNP1	DLGAP3	NKAIN1	PTAFR	SH2D5	DIO1	LDLRAP1	AL121992.1	MED18	PDIK1L	PHACTR4	SLC9A1	GPATCH3	FABP3	ALPL	EPHA8	MFAP2	PTCH2	IFI6	SERINC2	PEF1	CDCA8	EVA1B	STX12	COL9A2	NCMAP-DT	SNHG12	TINAGL1	NCMAP-DT	AL031432.4	SYF2	EPHA8	RCAN3AS	FO393419.2	GRIK3	TMEM234	CLSPN	COL9A2	LINC02811	RUNX3	KIF17	AZIN2	CDC42	AL662907.3	AL451070.1	AL513327.2	CRYBG2	EPB41	AL031432.4	SH2D5	RHD	TMEM35B	PAFAH2	GRIK3	AL353622.1	C1orf94	RAB42	TMCO4	MAP3K6	AL353604.1	RCC1
AL136115.3	AL645944.2	ZSCAN20	RCAN3	MED18	AL591178.1	CEP85	HCRTR1	A3GALT2	AL031602.2	AL512288.1	LINC01715	LINC01783	LINC01141	RHCE	MATN1	RPS6KA1	AL356055.1	ARHGEF10L	MDS2	ASAP3	FAM167B	IFI6	A3GALT2	ZNF436	AHDC1	AL049795.1	AL590434.1	SYNC	SYNC	AL360012.1	AC004865.2	SERINC2	LAPTM5	RAP1GAP	TCEANC2	UBXN11	AL450998.2	RCC1	CNKSR1	LINC01715	AL360012.1	AL360012.1	TMEM39B	CDC42-IT1	CNR2	TMCO4	MMACHC	SESN2	RNF19B	TSSK3	FAM183A	LINC01137	SERINC2	AL031985.4	AL031432.4	OPRD1	HCRTR1	PAQR7	RHD	AL031432.4	TCEA3	CNKSR1	THEMIS2	C1orf122	HDAC1	OSCP1	AC119677.1	AL031289.1	LDLRAP1	SH2D5	DLGAP3	WNT4	PHC2	SERINC2	DLGAP3	LINC01715	NKAIN1	MACO1	NBPF3	CNKSR1	AL590434.1	RPS6KA1	BMP8A	LINC01715	TMEM35B	COL16A1	PLA2G5	SMPDL3B	AL031289.1	SNHG3
CSMD2	MATN1-AS1	AC099565.1	NCMAP-DT	COL16A1	RCAN3AS	HMGN2	AL031602.2	AL513327.2	AL662907.3	HCRTR1	EPB41	BX284668.2	KIF17	AL020996.1	COL16A1	WASF2	BMP8B	PAX7	HMGCL	GRHL3	ZMYM1	XKR8	ZSCAN20	MAN1C1	SESN2	AL662907.3	NCDN	FNDC5	FNDC5	AL049795.1	TEKT2	DCDC2B	TMEM35B	CDC42-IT1	AL603840.1	SYTL1	ARHGEF19	OPRD1	SH3BGRL3	OPRD1	ZBTB8B	OPRD1	KIAA1522	ZNF436-AS1	NIPAL3	VWA5B1	CYP4X1	COL16A1	ZSCAN20	C1orf109	CDC20	RRAGC	DCDC2B	RIMS3	MACO1	TINAGL1	COL16A1	PIGV	AL391650.1	MACO1	IFNLR1	MAP3K6	PTAFR	POU3F1	TSSK3	LINC01137	SLC2A1-AS1	NFYC-AS1	SLC9A1	NBPF3	AC004865.2	ZNF436	AL513327.2	SYNC	SH3D21	HCRTR1	TRIM62	GPN2	LINC01355	CRYBG2	TEKT2	WASF2	BMP8B	COL16A1	AL138787.2	IQCC	UBXN10	XKR8	HIVEP3	RAB42
ZMYM1	GJA4	NFYC-AS1	AL031432.4	AL049795.1	RCAN3	RAB42	AL662907.3	DLGAP3	PHC2	FNDC5	NKAIN1	PADI2	SH2D5	AUNIP	TMEM54	FO393419.2	OXCT2	UBXN10	MYOM3	STPG1	CLSPN	LINC01756	AL590434.1	PDIK1L	NKAIN1	A3GALT2	TFAP2E	HPCA	TRIM62	TSSK3	GRIK3	KIAA1522	COL8A2	WNT4	OMA1	AL049795.1	VWA5B1	EPB41	XKR8	SERINC2	KIAA1522	AL451070.1	FNDC5	NIPAL3	RCAN3	AL020998.1	TRABD2B	AZIN2	SH3D21	CDCA8	ST3GAL3	HEYL	AL031602.2	KCNQ4	PDIK1L	ZBTB8B	ADGRB2	SDC3	GPN2	AUNIP	STPG1	SESN2	SESN2	BMP8A	CSMD2-AS1	BMP8B	KIF2C	SLFNL1	AL590640.1	RAP1GAP	EPHA10	PITHD1	DLGAP3	AL031602.2	AL591845.1	TSSK3	AGO1	TMEM39B	FUCA1	TRNP1	AL353604.1	FO393419.2	AL033527.4	HDAC1	AL353604.1	FAM167B	ALPL	AL662907.3	BEST4	LINC01756
CLSPN	TMEM35B	AC093151.8	RHCE	ZSCAN20	AL031432.1	AL360012.1	A3GALT2	AL590434.1	AL513327.2	DLGAP3	LINC01226	PADI4	RAP1GAP	CATSPER4	ZSCAN20	THEMIS2	ZFP69	GRHL3	GPR3	AL031432.1	TEKT2	TINAGL1	SH3D21	TRNP1	SERINC2	TEKT2	TEKT2	AL031602.2	AL513327.2	AL020995.1	MTF1	A3GALT2	CSF3R	IFNLR1	LINC01135	TMEM54	LDLRAD2	AL136115.2	PTAFR	CCDC28B	AL031602.2	FABP3	RNF19B	RCAN3	RHCE	ECE1	AL109659.1	CSMD2-AS1	C1orf122	PABPC4-AS1	KIF2C	BMP8B	RNF19B	SLFNL1-AS1	AHDC1	KIAA1522	AL136115.2	HCRTR1	NKAIN1	PDIK1L	AL031280.1	OPRD1	RAB42	EXO5	C1orf94	ZNF684	TOE1	AC099795.1	SMPDL3B	CDC42-IT1	GJA9	LYPLA2	SH3D21	PHC2	AL442071.2	FAM229A	AL139286.3	TSSK3	NCMAP-DT	MAP3K6	MYCL	THEMIS2	AC093151.8	TMEM54	LINC01137	ZSCAN20	RAP1GAP	LINC01137	PLK3	AL451070.1
AL513220.1	EVA1B	HIVEP3	MAN1C1	COL8A2	AL031432.4	AL009181.1	AL513327.2	AL591845.1	DLGAP3	AL590434.1	AL136115.3	LINC01141	WNT4	CD52	AL590434.1	PTAFR	TMEM125	SYTL1	AL020997.2	UBXN11	C1orf109	GJA4	MIR3659HG	AHDC1	KIAA1522	GRIK3	AL596257.1	AL020995.1	AL139286.3	A3GALT2	HIVEP3	AL513327.1	SMAP2	STPG1	PGM1	C1orf94	CDC42-AS1	HPCA	AL360012.1	FAM229A	RNF19B	AL445248.1	TRIM62	XKR8	PIGV	HSPG2	SLC5A9	TEKT2	HIVEP3	HIVEP3	AL592166.1	MFSD2A	AL662907.3	SCMH1	AL353622.1	FNDC5	DCDC2B	DCDC2B	AL136115.2	AL353622.2	TRNP1	PTPRU	LAPTM5	SLFNL1	TEKT2	CFAP57	AL109659.1	AL139289.2	AL645944.2	WNT4	RHBDL2	RCAN3	AL591845.1	AL513327.2	AL442071.1	FNDC5	GRIK3	ZNF362	PAQR7	SESN2	AL031985.4	PTAFR	AC098484.2	CSMD2-AS1	UTP11	C1orf94	TEX46	BMP8A	ZSWIM5	AL513327.1
CDCA8	AL591845.1	RIMKLA	AUNIP	HIVEP3	RHD	MATN1	DLGAP3	FHL3	SH3D21	NCDN	TMEM54	CAMK2N1	TEX46	PIGV	AL356055.1	MED18	SZT2-AS1	AL353622.1	ADGRB2	AL512288.1	CDCA8	EVA1B	AL390839.2	NKAIN1	AL662907.3	DNALI1	GRIK3	TRIM62	YRDC	AL513327.2	AC098484.2	AGO1	NFYC-AS1	RCAN3AS	AL139294.1	AGO3	AL109936.6	CLSPN	NKAIN1	FNDC5	TRIM62	FAM229A	PHC2	PTAFR	FO393419.2	AL109936.6	SPATA6	OSCP1	TMEM269	TMEM269	CCDC163	SLC2A1	AL513327.2	TMEM269	OPRD1	DLGAP3	TSSK3	FAM229A	FAM229A	YTHDF2	FNDC5	AL662907.3	TRIM62	PPIH	OSCP1	PTCH2	DMRTA2	CDC20	AL354919.1	NCMAP-DT	AL031985.4	NCMAP-DT	AL353604.1	DLGAP3	COL9A2	AL031602.2	C1orf109	EPHA10	EXTL1	OPRD1	AL031289.1	RAB42	ZNF691	C1orf94	BMP8B	AL590434.1	ASAP3	ZNF684	MMACHC	CLSPN
EXO5	FHL3	TMEM125	EXTL1	TMEM269	RHCE	AL136115.3	SH3D21	AL356055.1	AL356055.1	TFAP2E	AGO1	FAM43B	IFNLR1	GPATCH3	AL031289.1	RAB42	AL139220.2	COL16A1	CSMD2	AL360012.1	EXO5	AL591845.1	MYCBP	ADGRB2	ZSCAN20	EPHA10	HPCAL4	A3GALT2	AL356055.1	CSMD2-AS1	CFAP57	AL139286.3	CITED4	RCAN3	PDE4B	AL138787.2	TCEA3	AL353604.1	SERINC2	AL513327.1	DLGAP3	BSDC1	ZSCAN20	MED18	SNHG3	TCEA3	AGBL4	KCNQ4	RPS8	HYI	IPP	TIE1	DLGAP3	SLC2A1-AS1	NKAIN1	AC004865.2	HPCA	AL031602.2	AL662907.3	SERINC2	RNF19B	NCDN	COL8A2	KDM4A-AS1	DNALI1	CCDC163	AL049637.2	ST3GAL3	TMEM234	NCMAP	RIMKLA	RHD	MANEAL	SH3D21	AL031985.4	AL513327.2	MYCL	HPCAL4	ZDHHC18	MECR	AC098484.2	LAPTM5	AL139220.2	AL138787.2	ZMYND12	TEKT2	NCMAP	AL031289.1	PIK3R3	AL353604.1
AL031289.1	MIR3659HG	PTPRF	AL391650.1	SZT2-AS1	AL606491.1	TMEM54	AL353604.1	COL9A2	COL9A2	SH3D21	AL139286.3	ECE1	PAQR7	GPR3	TMEM269	LAPTM5	LURAP1	HDAC1	CSMD2-AS1	COL16A1	CTPS1	GNL2	AL356055.1	FAM167B	AL590434.1	HPCAL4	AL031289.1	AL513327.1	AL442071.2	AL139286.3	MMACHC	BMP8A	AC119677.1	NCMAP	GNG12	LINC01685	E2F2	LINC01137	KHDRBS1	DLGAP3	C1orf109	FNDC5	AL590434.1	EPB41	AL136115.2	E2F2	AC099788.1	SLC2A1	PLK3	RNF220	RAD54L	BTBD19	C1orf216	AL357079.1	HCRTR1	EPHA10	AZIN2	DLGAP3	ZSCAN20	KHDRBS1	DLGAP3	AC004865.2	CSF3R	AL139220.2	KCNQ4	MMACHC	ORC1	AL451062.1	FAM167B	CRYBG2	AC098484.2	RHCE	MYCBP	AL591845.1	KCNQ4	DLGAP3	ZFP69B	PPIE	OPRD1	PTPRU	TMEM269	HCRTR1	AL592166.1	AL353604.1	AL451062.1	ADPRHL2	PAFAH2	NFYC-AS1	EFCAB14-AS1	CDCA8
SLFNL1	AL442071.1	ARTN	ZNF593	ARTN	MAN1C1	ZMYM1	EPHA10	KCNQ4	AL031985.4	AL591845.1	GRIK3	NBPF3	CNKSR1	AL020997.3	SVBP	AZIN2	AL109659.1	TMEM54	C1orf94	AL049795.1	AC098484.2	FHL3	AL442071.1	FAM229A	SH3D21	AL031985.3	ARTN	AL513327.2	BMP8A	DNALI1	CYP4X1	BEST4	ERMAP	MAP3K6	RPE65	AL031289.1	NCMAP	CDCA8	AL445248.1	TFAP2E	MANEAL	AL031602.2	C1orf216	NKAIN1	AL513327.2	ID3	AC104170.1	CCDC24	ZSWIM5	KIF2C	STIL	TMEM275	SH3D21	SLC6A9	ADGRB2	MIR3659HG	PHC2	AC004865.2	MRPS15	AL445248.1	SH3D21	TFAP2E	GJA9	AL592166.1	CCDC30	EFCAB14-AS1	ACOT11	KIF2C	GJA4	ZDHHC18	TMEM269	STMN1	AL442071.2	MYCBP	SLFNL1-AS1	AL590434.1	AL031985.3	LINC02811	NKAIN1	LINC01756	CDC20	AZIN2	LURAP1	DNALI1	PTCH2	OSCP1	LINC01756	TMEM269	LINC01389	GJA9
AL139289.2	HEYL	BEST4	SYTL1	DPH2	AL031280.1	CLSPN	AL356055.1	SCMH1	ZFP69B	EPHA10	C1orf109	WNT4	CRYBG2	SESN2	TMEM125	COL8A2	SLC5A9	CSMD2	AL353604.1	DCDC2B	CDC20	HEYL	BMP8A	AZIN2	AL591845.1	EXO5	CCDC24	ZSCAN20	RIMKLA	YRDC	BEND5	BTBD19	ZNF691	ZBTB8B	HHLA3	AC093151.8	AUNIP	LINC01685	TMEM39B	MAP7D1	RRAGC	ZSCAN20	SH3D21	FABP3	EPHA10	LDLRAP1	RAB3B	ARMH1	PRDX1	IPP	LINC01389	AL445685.1	MYCBP	CYP4X1	AL136115.2	RHBDL2	ZSCAN20	GRIK3	MYCL	TMEM39B	GRIK3	GRIK3	PABPC4-AS1	LURAP1	ERMAP	TRABD2B	MROH7	AL592166.1	TMEM35B	MAP3K6	ARTN	EXTL1	BMP8A	AL442071.2	SCMH1	SH3D21	EXO5	ZFP69B	HCRTR1	AL445248.1	TESK2	COL8A2	AL109659.1	ZNF684	CCDC163	AL353604.1	COL16A1	TESK2	AL592182.2	NFYC-AS1
CDC20	MFSD2A	HECTD3	BX293535.1	HPDL	AL391650.1	CDCA8	COL9A2	SZT2-AS1	NFYC-AS1	AL031985.4	YRDC	AL445253.1	TRNP1	OPRD1	HYI-AS1	CSF3R	AL109659.2	CSMD2-AS1	LINC01137	HDAC1	MED8	MFSD2A	MYCL	AL662907.3	STK40	AL031289.1	AL604028.1	C1orf94	AC098484.4	MYCBP	SHISAL2A	AL604028.1	AL139220.2	C1orf94	AC095033.1	SLC2A1-AS1	SYTL1	MYCL	MARCKSL1	AL442071.2	MYCBP	AL590434.1	GRIK3	FAM229A	POU3F1	MAN1C1	PCSK9	BTBD19	AC104170.1	RAD54L	TRABD2B	LINC01753	GJA9	CYP4A22-AS1	PTP4A2	AL031985.4	CSMD2	EPHA10	CFAP57	KIAA1522	GJA9	C1orf109	SMAP2	AL109659.1	FAM183A	AL109659.1	FYB2	TOE1	CLSPN	SMPDL3B	HECTD3	PDIK1L	LINC02811	BMP8A	TMEM269	AL591845.1	ZMYND12	AL031985.3	ADGRB2	AL031602.2	PRDX1	CSF3R	SLC5A9	CCDC30	MMACHC	DNALI1	DCDC2B	LINC01389	LINC02808	HIVEP3
ST3GAL3	AL512353.1	ZSWIM5	AL512288.1	LINC02808	CD52	CTPS1	AL031985.4	AL357079.1	KCNQ4	KCNQ4	MYCL	ZBTB40	MAP3K6	PTPRU	HPDL	POU3F1	SPATA6	C1orf94	AL513220.1	TSSK3	KIF2C	SLC2A1	AL050341.2	A3GALT2	MANEAL	FOXO6	TSPAN1	AL590434.1	AC098484.2	AL442071.1	PODN	EFCAB14-AS1	PLK3	DLGAP3	LINC01776	ARMH1	TMEM54	MFSD2A	FNDC5	FOXO6	MYCL	AL139286.3	EPHA10	AL662907.3	MIR3659HG	AL031280.1	PLPP3	POMGNT1	GPX7	STIL	SLC5A9	KANK4	COL9A2	TTC39A	MARCKSL1	AC119677.1	CSMD2-AS1	UTP11	AL451062.1	FNDC5	AL050341.2	EPHA10	AC119677.1	SLC5A9	EBNA1BP2	SLC5A9	LINC01748	MMACHC	EVA1B	XKR8	CYP4X1	PIGV	COL9A2	COL9A2	SLC2A1-AS1	AC093151.3	CCDC163	AL603839.3	AL136115.2	AC004865.2	AL592182.2	LINC01137	AL109659.2	AC098484.2	NASP	AL513220.1	HDAC1	AL109659.1	AL049637.1	AL139289.2
AL451062.1	SLC2A1	PIK3R3	AL353622.1	AL162430.2	GPR3	PPIH	ZFP69B	DPH2	SLFNL1-AS1	TMEM125	EXO5	EPHA8	SMPDL3B	HCRTR1	TESK2	PABPC4-AS1	CDKN2C	TEKT2	BMP8B	C1orf94	AL592166.1	SLC2A1-AS1	COL9A2	CSMD2	POU3F1	B4GALT2	LURAP1	AL139286.3	C1orf50	AL031985.4	AL035416.1	ELAVL4	MKNK1-AS1	AC004865.2	AL589990.1	BTBD19	CLSPN	RIMS3	ZSCAN20	P3H1	MFSD2A	MANEAL	MANEAL	AL513327.2	AL442071.2	PAQR7	DAB1	LURAP1	SHISAL2A	AL109659.1	SPATA6	PTGFR	AL031985.4	PRKAA2	KIAA1522	FAM183A	STK40	POU3F1	PIK3R3	ZSCAN20	SVBP	MANEAL	ERMAP	SPATA6	SLC6A9	SPATA6	AC099792.1	NASP	RHBDL2	PTPRU	CYP4Z1	TRNP1	AL031985.4	AL031985.4	ARTN	ZNF691	MAST2	RIMKLA	TRIM62	TFAP2E	CDKN2C	POU3F1	SPATA6	ARMH1	MOB3C	KCNQ4	CSMD2	AL645507.1	KTI12	RNF220
KIF2C	TIE1	TMEM275	MATN1	SLC1A7	BX293535.1	AL512353.1	KCNQ4	TSPAN1	SCMH1	ARTN	NFYC-AS1	EPHB2	OPRD1	FAM167B	PRDX1	SMAP2	AC104170.2	OSCP1	OXCT2	TEKT2	CCDC163	FAM183A	AL031289.1	CSMD2-AS1	MIR3659HG	CCDC24	FAAH	C1orf109	TMEM269	AC093151.8	WDR78	AL592182.2	MKNK1	AL596257.1	AC104506.1	CCDC163	AL354864.1	AL031289.1	C1orf216	SVBP	PPT1	UTP11	YRDC	AL590434.1	MYCL	UBXN11	LINC01135	AL645507.1	ECHDC2	AL049637.1	AGBL4	ADGRL4	RIMS3	DAB1	HPCA	CYP4X1	PPIE	MIR3659HG	AL049637.1	C1orf216	SLC2A1-AS1	AL929472.3	BTBD19	CDKN2C	ARMH1	BEND5	NFIA	RAD54L	HEYL	MATN1	AGBL4	SDC3	ZFP69B	KCNQ4	DPH2	MED8	ELAVL4	ZSWIM5	AL590434.1	AL139286.3	AC104170.2	BMP8B	AL049637.1	CCDC163	TRABD2B	ZMYND12	MIR3659HG	AL592182.2	ZYG11A	KIF2C
